SubCategoryCode,CODE,SHORT DESCRIPTION (VALID ICD-10 FY2024),LONG DESCRIPTION (VALID ICD-10 FY2024)
F13,F13182,"Sedative, hypnotic or anxiolytic abuse w sleep disorder","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder"
F13,F13188,"Sedative, hypnotic or anxiolytic abuse w oth disorder","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder"
F13,F1319,"Sedative, hypnotic or anxiolytic abuse w unsp disorder","Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F13,F1320,"Sedative, hypnotic or anxiolytic dependence, uncomplicated","Sedative, hypnotic or anxiolytic dependence, uncomplicated"
F13,F1321,"Sedative, hypnotic or anxiolytic dependence, in remission","Sedative, hypnotic or anxiolytic dependence, in remission"
F13,F13220,"Sedatv/hyp/anxiolytc dependence w intoxication, uncomp","Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated"
F13,F13221,Sedatv/hyp/anxiolytc dependence w intoxication delirium,"Sedative, hypnotic or anxiolytic dependence with intoxication delirium"
F13,F13229,"Sedatv/hyp/anxiolytc dependence w intoxication, unsp","Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified"
F13,F13230,"Sedatv/hyp/anxiolytc dependence w withdrawal, uncomplicated","Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated"
F13,F13231,Sedatv/hyp/anxiolytc dependence w withdrawal delirium,"Sedative, hypnotic or anxiolytic dependence with withdrawal delirium"
F13,F13232,Sedatv/hyp/anxiolytc depend w w/drawal w perceptual disturb,"Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance"
F13,F13239,"Sedatv/hyp/anxiolytc dependence w withdrawal, unsp","Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
F13,F1324,"Sedative, hypnotic or anxiolytic dependence w mood disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
F13,F13250,Sedatv/hyp/anxiolytc depend w psychotic disorder w delusions,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
F13,F13251,Sedatv/hyp/anxiolytc depend w psychotic disorder w hallucin,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
F13,F13259,"Sedatv/hyp/anxiolytc dependence w psychotic disorder, unsp","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
F13,F1326,Sedatv/hyp/anxiolytc depend w persisting amnestic disorder,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
F13,F1327,Sedatv/hyp/anxiolytc dependence w persisting dementia,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
F13,F13280,Sedatv/hyp/anxiolytc dependence w anxiety disorder,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
F13,F13281,Sedatv/hyp/anxiolytc dependence w sexual dysfunction,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
F13,F13282,"Sedative, hypnotic or anxiolytic dependence w sleep disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder"
F13,F13288,"Sedative, hypnotic or anxiolytic dependence w oth disorder","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder"
F13,F1329,"Sedative, hypnotic or anxiolytic dependence w unsp disorder","Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F13,F1390,"Sedative, hypnotic, or anxiolytic use, unsp, uncomplicated","Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated"
F13,F1391,"Sedatv/hyp/anxiolytc use, unspecified, in remission","Sedative, hypnotic or anxiolytic use, unspecified, in remission"
F13,F13920,"Sedatv/hyp/anxiolytc use, unsp w intoxication, uncomplicated","Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated"
F13,F13921,"Sedatv/hyp/anxiolytc use, unsp w intoxication delirium","Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium"
F13,F13929,"Sedatv/hyp/anxiolytc use, unsp w intoxication, unsp","Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified"
F13,F13930,"Sedatv/hyp/anxiolytc use, unsp w withdrawal, uncomplicated","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated"
F13,F13931,"Sedatv/hyp/anxiolytc use, unsp w withdrawal delirium","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium"
F13,F13932,"Sedatv/hyp/anxiolytc use, unsp w w/drawal w perceptl disturb","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances"
F13,F13939,"Sedatv/hyp/anxiolytc use, unsp w withdrawal, unsp","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified"
F13,F1394,"Sedative, hypnotic or anxiolytic use, unsp w mood disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder"
F13,F13950,"Sedatv/hyp/anxiolytc use, unsp w psych disorder w delusions","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
F13,F13951,"Sedatv/hyp/anxiolytc use, unsp w psych disorder w hallucin","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
F13,F13959,"Sedatv/hyp/anxiolytc use, unsp w psychotic disorder, unsp","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
F13,F1396,"Sedatv/hyp/anxiolytc use, unsp w persist amnestic disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
F13,F1397,"Sedatv/hyp/anxiolytc use, unsp w persisting dementia","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia"
F13,F13980,"Sedatv/hyp/anxiolytc use, unsp w anxiety disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
F13,F13981,"Sedatv/hyp/anxiolytc use, unsp w sexual dysfunction","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
F13,F13982,"Sedative, hypnotic or anxiolytic use, unsp w sleep disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder"
F13,F13988,"Sedative, hypnotic or anxiolytic use, unsp w oth disorder","Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder"
F13,F1399,"Sedative, hypnotic or anxiolytic use, unsp w unsp disorder","Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F14,F1410,"Cocaine abuse, uncomplicated","Cocaine abuse, uncomplicated"
F14,F1411,"Cocaine abuse, in remission","Cocaine abuse, in remission"
F14,F14120,"Cocaine abuse with intoxication, uncomplicated","Cocaine abuse with intoxication, uncomplicated"
F14,F14121,Cocaine abuse with intoxication with delirium,Cocaine abuse with intoxication with delirium
F14,F14122,Cocaine abuse with intoxication with perceptual disturbance,Cocaine abuse with intoxication with perceptual disturbance
F14,F14129,"Cocaine abuse with intoxication, unspecified","Cocaine abuse with intoxication, unspecified"
F14,F1413,"Cocaine abuse, unspecified with withdrawal","Cocaine abuse, unspecified with withdrawal"
F14,F1414,Cocaine abuse with cocaine-induced mood disorder,Cocaine abuse with cocaine-induced mood disorder
F14,F14150,Cocaine abuse w cocaine-induc psychotic disorder w delusions,Cocaine abuse with cocaine-induced psychotic disorder with delusions
F14,F14151,Cocaine abuse w cocaine-induc psychotic disorder w hallucin,Cocaine abuse with cocaine-induced psychotic disorder with hallucinations
F14,F14159,"Cocaine abuse with cocaine-induced psychotic disorder, unsp","Cocaine abuse with cocaine-induced psychotic disorder, unspecified"
F14,F14180,Cocaine abuse with cocaine-induced anxiety disorder,Cocaine abuse with cocaine-induced anxiety disorder
F14,F14181,Cocaine abuse with cocaine-induced sexual dysfunction,Cocaine abuse with cocaine-induced sexual dysfunction
F14,F14182,Cocaine abuse with cocaine-induced sleep disorder,Cocaine abuse with cocaine-induced sleep disorder
F14,F14188,Cocaine abuse with other cocaine-induced disorder,Cocaine abuse with other cocaine-induced disorder
F14,F1419,Cocaine abuse with unspecified cocaine-induced disorder,Cocaine abuse with unspecified cocaine-induced disorder
F14,F1420,"Cocaine dependence, uncomplicated","Cocaine dependence, uncomplicated"
F14,F1421,"Cocaine dependence, in remission","Cocaine dependence, in remission"
F14,F14220,"Cocaine dependence with intoxication, uncomplicated","Cocaine dependence with intoxication, uncomplicated"
F14,F14221,Cocaine dependence with intoxication delirium,Cocaine dependence with intoxication delirium
F14,F14222,Cocaine dependence w intoxication w perceptual disturbance,Cocaine dependence with intoxication with perceptual disturbance
F14,F14229,"Cocaine dependence with intoxication, unspecified","Cocaine dependence with intoxication, unspecified"
F14,F1423,Cocaine dependence with withdrawal,Cocaine dependence with withdrawal
F14,F1424,Cocaine dependence with cocaine-induced mood disorder,Cocaine dependence with cocaine-induced mood disorder
F14,F14250,Cocaine depend w cocaine-induc psych disorder w delusions,Cocaine dependence with cocaine-induced psychotic disorder with delusions
F14,F14251,Cocaine depend w cocaine-induc psychotic disorder w hallucin,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations
F14,F14259,"Cocaine dependence w cocaine-induc psychotic disorder, unsp","Cocaine dependence with cocaine-induced psychotic disorder, unspecified"
F14,F14280,Cocaine dependence with cocaine-induced anxiety disorder,Cocaine dependence with cocaine-induced anxiety disorder
F14,F14281,Cocaine dependence with cocaine-induced sexual dysfunction,Cocaine dependence with cocaine-induced sexual dysfunction
F14,F14282,Cocaine dependence with cocaine-induced sleep disorder,Cocaine dependence with cocaine-induced sleep disorder
F14,F14288,Cocaine dependence with other cocaine-induced disorder,Cocaine dependence with other cocaine-induced disorder
F14,F1429,Cocaine dependence with unspecified cocaine-induced disorder,Cocaine dependence with unspecified cocaine-induced disorder
F14,F1490,"Cocaine use, unspecified, uncomplicated","Cocaine use, unspecified, uncomplicated"
F14,F1491,"Cocaine use, unspecified, in remission","Cocaine use, unspecified, in remission"
F14,F14920,"Cocaine use, unspecified with intoxication, uncomplicated","Cocaine use, unspecified with intoxication, uncomplicated"
F14,F14921,"Cocaine use, unspecified with intoxication delirium","Cocaine use, unspecified with intoxication delirium"
F14,F14922,"Cocaine use, unsp w intoxication with perceptual disturbance","Cocaine use, unspecified with intoxication with perceptual disturbance"
F14,F14929,"Cocaine use, unspecified with intoxication, unspecified","Cocaine use, unspecified with intoxication, unspecified"
F14,F1493,"Cocaine use, unspecified with withdrawal","Cocaine use, unspecified with withdrawal"
F14,F1494,"Cocaine use, unspecified with cocaine-induced mood disorder","Cocaine use, unspecified with cocaine-induced mood disorder"
F14,F14950,"Cocaine use, unsp w cocaine-induc psych disorder w delusions","Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions"
F14,F14951,"Cocaine use, unsp w cocaine-induc psych disorder w hallucin","Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations"
F14,F14959,"Cocaine use, unsp w cocaine-induced psychotic disorder, unsp","Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
F14,F14980,"Cocaine use, unsp with cocaine-induced anxiety disorder","Cocaine use, unspecified with cocaine-induced anxiety disorder"
F14,F14981,"Cocaine use, unsp with cocaine-induced sexual dysfunction","Cocaine use, unspecified with cocaine-induced sexual dysfunction"
F14,F14982,"Cocaine use, unspecified with cocaine-induced sleep disorder","Cocaine use, unspecified with cocaine-induced sleep disorder"
F14,F14988,"Cocaine use, unspecified with other cocaine-induced disorder","Cocaine use, unspecified with other cocaine-induced disorder"
F14,F1499,"Cocaine use, unsp with unspecified cocaine-induced disorder","Cocaine use, unspecified with unspecified cocaine-induced disorder"
F15,F1510,"Other stimulant abuse, uncomplicated","Other stimulant abuse, uncomplicated"
F15,F1511,"Other stimulant abuse, in remission","Other stimulant abuse, in remission"
F15,F15120,"Other stimulant abuse with intoxication, uncomplicated","Other stimulant abuse with intoxication, uncomplicated"
F15,F15121,Other stimulant abuse with intoxication delirium,Other stimulant abuse with intoxication delirium
F15,F15122,Oth stimulant abuse w intoxication w perceptual disturbance,Other stimulant abuse with intoxication with perceptual disturbance
F15,F15129,"Other stimulant abuse with intoxication, unspecified","Other stimulant abuse with intoxication, unspecified"
F15,F1513,Other stimulant abuse with withdrawal,Other stimulant abuse with withdrawal
F15,F1514,Other stimulant abuse with stimulant-induced mood disorder,Other stimulant abuse with stimulant-induced mood disorder
F15,F15150,Oth stimulant abuse w stim-induce psych disorder w delusions,Other stimulant abuse with stimulant-induced psychotic disorder with delusions
F15,F15151,Oth stimulant abuse w stim-induce psych disorder w hallucin,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations
F15,F15159,"Oth stimulant abuse w stim-induce psychotic disorder, unsp","Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
F15,F15180,Oth stimulant abuse with stimulant-induced anxiety disorder,Other stimulant abuse with stimulant-induced anxiety disorder
F15,F15181,Oth stimulant abuse w stimulant-induced sexual dysfunction,Other stimulant abuse with stimulant-induced sexual dysfunction
F15,F15182,Other stimulant abuse with stimulant-induced sleep disorder,Other stimulant abuse with stimulant-induced sleep disorder
F15,F15188,Other stimulant abuse with other stimulant-induced disorder,Other stimulant abuse with other stimulant-induced disorder
F15,F1519,Other stimulant abuse with unsp stimulant-induced disorder,Other stimulant abuse with unspecified stimulant-induced disorder
F15,F1520,"Other stimulant dependence, uncomplicated","Other stimulant dependence, uncomplicated"
F15,F1521,"Other stimulant dependence, in remission","Other stimulant dependence, in remission"
F15,F15220,"Other stimulant dependence with intoxication, uncomplicated","Other stimulant dependence with intoxication, uncomplicated"
F15,F15221,Other stimulant dependence with intoxication delirium,Other stimulant dependence with intoxication delirium
F15,F15222,Oth stimulant dependence w intox w perceptual disturbance,Other stimulant dependence with intoxication with perceptual disturbance
F15,F15229,"Other stimulant dependence with intoxication, unspecified","Other stimulant dependence with intoxication, unspecified"
F15,F1523,Other stimulant dependence with withdrawal,Other stimulant dependence with withdrawal
F15,F1524,Oth stimulant dependence w stimulant-induced mood disorder,Other stimulant dependence with stimulant-induced mood disorder
F15,F15250,Oth stim depend w stim-induce psych disorder w delusions,Other stimulant dependence with stimulant-induced psychotic disorder with delusions
F15,F15251,Oth stimulant depend w stim-induce psych disorder w hallucin,Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations
F15,F15259,"Oth stimulant depend w stim-induce psychotic disorder, unsp","Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
F15,F15280,Oth stimulant dependence w stim-induce anxiety disorder,Other stimulant dependence with stimulant-induced anxiety disorder
F15,F15281,Oth stimulant dependence w stim-induce sexual dysfunction,Other stimulant dependence with stimulant-induced sexual dysfunction
F15,F15282,Oth stimulant dependence w stimulant-induced sleep disorder,Other stimulant dependence with stimulant-induced sleep disorder
F15,F15288,Oth stimulant dependence with oth stimulant-induced disorder,Other stimulant dependence with other stimulant-induced disorder
F15,F1529,Oth stimulant dependence w unsp stimulant-induced disorder,Other stimulant dependence with unspecified stimulant-induced disorder
F15,F1590,"Other stimulant use, unspecified, uncomplicated","Other stimulant use, unspecified, uncomplicated"
F15,F1591,"Other stimulant use, unspecified, in remission","Other stimulant use, unspecified, in remission"
F15,F15920,"Other stimulant use, unsp with intoxication, uncomplicated","Other stimulant use, unspecified with intoxication, uncomplicated"
F15,F15921,"Other stimulant use, unspecified with intoxication delirium","Other stimulant use, unspecified with intoxication delirium"
F15,F15922,"Oth stimulant use, unsp w intox w perceptual disturbance","Other stimulant use, unspecified with intoxication with perceptual disturbance"
F15,F15929,"Other stimulant use, unsp with intoxication, unspecified","Other stimulant use, unspecified with intoxication, unspecified"
F15,F1593,"Other stimulant use, unspecified with withdrawal","Other stimulant use, unspecified with withdrawal"
F15,F1594,"Oth stimulant use, unsp with stimulant-induced mood disorder","Other stimulant use, unspecified with stimulant-induced mood disorder"
F15,F15950,"Oth stim use, unsp w stim-induce psych disorder w delusions","Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions"
F15,F15951,"Oth stim use, unsp w stim-induce psych disorder w hallucin","Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations"
F15,F15959,"Oth stimulant use, unsp w stim-induce psych disorder, unsp","Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified"
F15,F15980,"Oth stimulant use, unsp w stimulant-induced anxiety disorder","Other stimulant use, unspecified with stimulant-induced anxiety disorder"
F15,F15981,"Oth stimulant use, unsp w stim-induce sexual dysfunction","Other stimulant use, unspecified with stimulant-induced sexual dysfunction"
F15,F15982,"Oth stimulant use, unsp w stimulant-induced sleep disorder","Other stimulant use, unspecified with stimulant-induced sleep disorder"
F15,F15988,"Oth stimulant use, unsp with oth stimulant-induced disorder","Other stimulant use, unspecified with other stimulant-induced disorder"
F15,F1599,"Oth stimulant use, unsp with unsp stimulant-induced disorder","Other stimulant use, unspecified with unspecified stimulant-induced disorder"
F16,F1610,"Hallucinogen abuse, uncomplicated","Hallucinogen abuse, uncomplicated"
F16,F1611,"Hallucinogen abuse, in remission","Hallucinogen abuse, in remission"
F16,F16120,"Hallucinogen abuse with intoxication, uncomplicated","Hallucinogen abuse with intoxication, uncomplicated"
F16,F16121,Hallucinogen abuse with intoxication with delirium,Hallucinogen abuse with intoxication with delirium
F16,F16122,Hallucinogen abuse w intoxication w perceptual disturbance,Hallucinogen abuse with intoxication with perceptual disturbance
F16,F16129,"Hallucinogen abuse with intoxication, unspecified","Hallucinogen abuse with intoxication, unspecified"
F16,F1614,Hallucinogen abuse with hallucinogen-induced mood disorder,Hallucinogen abuse with hallucinogen-induced mood disorder
F16,F16150,Hallucinogen abuse w psychotic disorder w delusions,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions
F16,F16151,Hallucinogen abuse w psychotic disorder w hallucinations,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
F16,F16159,"Hallucinogen abuse w psychotic disorder, unsp","Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified"
F16,F16180,Hallucinogen abuse w hallucinogen-induced anxiety disorder,Hallucinogen abuse with hallucinogen-induced anxiety disorder
F16,F16183,Hallucign abuse w hallucign persisting perception disorder,Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)
F16,F16188,Hallucinogen abuse with other hallucinogen-induced disorder,Hallucinogen abuse with other hallucinogen-induced disorder
F16,F1619,Hallucinogen abuse with unsp hallucinogen-induced disorder,Hallucinogen abuse with unspecified hallucinogen-induced disorder
F16,F1620,"Hallucinogen dependence, uncomplicated","Hallucinogen dependence, uncomplicated"
F16,F1621,"Hallucinogen dependence, in remission","Hallucinogen dependence, in remission"
F16,F16220,"Hallucinogen dependence with intoxication, uncomplicated","Hallucinogen dependence with intoxication, uncomplicated"
F16,F16221,Hallucinogen dependence with intoxication with delirium,Hallucinogen dependence with intoxication with delirium
F16,F16229,"Hallucinogen dependence with intoxication, unspecified","Hallucinogen dependence with intoxication, unspecified"
F16,F1624,Hallucinogen dependence w hallucinogen-induced mood disorder,Hallucinogen dependence with hallucinogen-induced mood disorder
F16,F16250,Hallucinogen dependence w psychotic disorder w delusions,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions
F16,F16251,Hallucinogen dependence w psychotic disorder w hallucin,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations
F16,F16259,"Hallucinogen dependence w psychotic disorder, unsp","Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified"
F16,F16280,Hallucinogen dependence w anxiety disorder,Hallucinogen dependence with hallucinogen-induced anxiety disorder
F16,F16283,Hallucign depend w hallucign persisting perception disorder,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)
F16,F16288,Hallucinogen dependence w oth hallucinogen-induced disorder,Hallucinogen dependence with other hallucinogen-induced disorder
F16,F1629,Hallucinogen dependence w unsp hallucinogen-induced disorder,Hallucinogen dependence with unspecified hallucinogen-induced disorder
F16,F1690,"Hallucinogen use, unspecified, uncomplicated","Hallucinogen use, unspecified, uncomplicated"
F16,F1691,"Hallucinogen use, unspecified, in remission","Hallucinogen use, unspecified, in remission"
F16,F16920,"Hallucinogen use, unsp with intoxication, uncomplicated","Hallucinogen use, unspecified with intoxication, uncomplicated"
F16,F16921,"Hallucinogen use, unsp with intoxication with delirium","Hallucinogen use, unspecified with intoxication with delirium"
F16,F16929,"Hallucinogen use, unspecified with intoxication, unspecified","Hallucinogen use, unspecified with intoxication, unspecified"
F16,F1694,"Hallucinogen use, unsp w hallucinogen-induced mood disorder","Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
F16,F16950,"Hallucinogen use, unsp w psychotic disorder w delusions","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions"
F16,F16951,"Hallucinogen use, unsp w psychotic disorder w hallucinations","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations"
F16,F16959,"Hallucinogen use, unsp w psychotic disorder, unsp","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified"
F16,F16980,"Hallucinogen use, unsp w anxiety disorder","Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
F16,F16983,"Hallucign use, unsp w hallucign persist perception disorder","Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)"
F16,F16988,"Hallucinogen use, unsp w oth hallucinogen-induced disorder","Hallucinogen use, unspecified with other hallucinogen-induced disorder"
F16,F1699,"Hallucinogen use, unsp w unsp hallucinogen-induced disorder","Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
F17,F17200,"Nicotine dependence, unspecified, uncomplicated","Nicotine dependence, unspecified, uncomplicated  "
F17,F17201,"Nicotine dependence, unspecified, in remission","Nicotine dependence, unspecified, in remission"
F17,F17203,"Nicotine dependence unspecified, with withdrawal","Nicotine dependence unspecified, with withdrawal"
F17,F17208,"Nicotine dependence, unsp, w oth nicotine-induced disorders","Nicotine dependence, unspecified, with other nicotine-induced disorders"
F17,F17209,"Nicotine dependence, unsp, w unsp nicotine-induced disorders","Nicotine dependence, unspecified, with unspecified nicotine-induced disorders"
F17,F17210,"Nicotine dependence, cigarettes, uncomplicated","Nicotine dependence, cigarettes, uncomplicated   "
F17,F17211,"Nicotine dependence, cigarettes, in remission","Nicotine dependence, cigarettes, in remission    "
F17,F17213,"Nicotine dependence, cigarettes, with withdrawal","Nicotine dependence, cigarettes, with withdrawal"
F17,F17218,"Nicotine dependence, cigarettes, w oth disorders","Nicotine dependence, cigarettes, with other nicotine-induced disorders"
F17,F17219,"Nicotine dependence, cigarettes, w unsp disorders","Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders"
F17,F17220,"Nicotine dependence, chewing tobacco, uncomplicated","Nicotine dependence, chewing tobacco, uncomplicated   "
F17,F17221,"Nicotine dependence, chewing tobacco, in remission","Nicotine dependence, chewing tobacco, in remission  "
F17,F17223,"Nicotine dependence, chewing tobacco, with withdrawal","Nicotine dependence, chewing tobacco, with withdrawal"
F17,F17228,"Nicotine dependence, chewing tobacco, w oth disorders","Nicotine dependence, chewing tobacco, with other nicotine-induced disorders"
F17,F17229,"Nicotine dependence, chewing tobacco, w unsp disorders","Nicotine dependence, chewing tobacco, with unspecified nicotine-induced disorders"
F17,F17290,"Nicotine dependence, other tobacco product, uncomplicated","Nicotine dependence, other tobacco product, uncomplicated   "
F17,F17291,"Nicotine dependence, other tobacco product, in remission","Nicotine dependence, other tobacco product, in remission   "
F17,F17293,"Nicotine dependence, other tobacco product, with withdrawal","Nicotine dependence, other tobacco product, with withdrawal"
F17,F17298,"Nicotine dependence, oth tobacco product, w oth disorders","Nicotine dependence, other tobacco product, with other nicotine-induced disorders"
F17,F17299,"Nicotine dependence, oth tobacco product, w unsp disorders","Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders"
F18,F1810,"Inhalant abuse, uncomplicated","Inhalant abuse, uncomplicated"
F18,F1811,"Inhalant abuse, in remission","Inhalant abuse, in remission"
F18,F18120,"Inhalant abuse with intoxication, uncomplicated","Inhalant abuse with intoxication, uncomplicated"
F18,F18121,Inhalant abuse with intoxication delirium,Inhalant abuse with intoxication delirium
F18,F18129,"Inhalant abuse with intoxication, unspecified","Inhalant abuse with intoxication, unspecified"
F18,F1814,Inhalant abuse with inhalant-induced mood disorder,Inhalant abuse with inhalant-induced mood disorder
F18,F18150,Inhalant abuse w inhalnt-induce psych disorder w delusions,Inhalant abuse with inhalant-induced psychotic disorder with delusions
F18,F18151,Inhalant abuse w inhalnt-induce psych disorder w hallucin,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations
F18,F18159,"Inhalant abuse w inhalant-induced psychotic disorder, unsp","Inhalant abuse with inhalant-induced psychotic disorder, unspecified"
F18,F1817,Inhalant abuse with inhalant-induced dementia,Inhalant abuse with inhalant-induced dementia
F18,F18180,Inhalant abuse with inhalant-induced anxiety disorder,Inhalant abuse with inhalant-induced anxiety disorder
F18,F18188,Inhalant abuse with other inhalant-induced disorder,Inhalant abuse with other inhalant-induced disorder
F18,F1819,Inhalant abuse with unspecified inhalant-induced disorder,Inhalant abuse with unspecified inhalant-induced disorder
F18,F1820,"Inhalant dependence, uncomplicated","Inhalant dependence, uncomplicated"
F18,F1821,"Inhalant dependence, in remission","Inhalant dependence, in remission"
F18,F18220,"Inhalant dependence with intoxication, uncomplicated","Inhalant dependence with intoxication, uncomplicated"
F18,F18221,Inhalant dependence with intoxication delirium,Inhalant dependence with intoxication delirium
F18,F18229,"Inhalant dependence with intoxication, unspecified","Inhalant dependence with intoxication, unspecified"
F18,F1824,Inhalant dependence with inhalant-induced mood disorder,Inhalant dependence with inhalant-induced mood disorder
F18,F18250,Inhalant depend w inhalnt-induce psych disorder w delusions,Inhalant dependence with inhalant-induced psychotic disorder with delusions
F18,F18251,Inhalant depend w inhalnt-induce psych disorder w hallucin,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations
F18,F18259,"Inhalant depend w inhalnt-induce psychotic disorder, unsp","Inhalant dependence with inhalant-induced psychotic disorder, unspecified"
F18,F1827,Inhalant dependence with inhalant-induced dementia,Inhalant dependence with inhalant-induced dementia
F18,F18280,Inhalant dependence with inhalant-induced anxiety disorder,Inhalant dependence with inhalant-induced anxiety disorder
F18,F18288,Inhalant dependence with other inhalant-induced disorder,Inhalant dependence with other inhalant-induced disorder
F18,F1829,Inhalant dependence with unsp inhalant-induced disorder,Inhalant dependence with unspecified inhalant-induced disorder
F18,F1890,"Inhalant use, unspecified, uncomplicated","Inhalant use, unspecified, uncomplicated"
F18,F1891,"Inhalant use, unspecified, in remission","Inhalant use, unspecified, in remission"
F18,F18920,"Inhalant use, unspecified with intoxication, uncomplicated","Inhalant use, unspecified with intoxication, uncomplicated"
F18,F18921,"Inhalant use, unspecified with intoxication with delirium","Inhalant use, unspecified with intoxication with delirium"
F18,F18929,"Inhalant use, unspecified with intoxication, unspecified","Inhalant use, unspecified with intoxication, unspecified"
F18,F1894,"Inhalant use, unsp with inhalant-induced mood disorder","Inhalant use, unspecified with inhalant-induced mood disorder"
F18,F18950,"Inhalant use, unsp w inhalnt-induce psych disord w delusions","Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions"
